Date,Name,Year,Letterboxd URI,Rating
2021-12-21,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2021-12-22,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,3
2021-12-24,Heat,1995,https://boxd.it/2bg8,3.5
2022-01-06,Apostle,2018,https://boxd.it/f0so,3
2022-02-19,Don't Look Up,2021,https://boxd.it/o0Hc,3
2022-02-19,Buffalo '66,1998,https://boxd.it/1YC6,2
2022-03-16,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2022-05-25,Drive,2011,https://boxd.it/IG,4.5
2022-05-27,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2022-06-12,Batman: Under the Red Hood,2010,https://boxd.it/11eE,4
2022-07-16,Howl's Moving Castle,2004,https://boxd.it/23De,4.5
2022-07-16,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
2022-07-27,The Gray Man,2022,https://boxd.it/rb7q,2
2022-08-12,The Lighthouse,2019,https://boxd.it/icFU,4.5
2022-08-15,The Black Phone,2021,https://boxd.it/sqFE,2.5
2022-10-07,The Batman,2022,https://boxd.it/eDGs,4.5
2022-10-09,Argentina 1985,2022,https://boxd.it/qLxM,4.5
2023-01-05,Pearl,2022,https://boxd.it/zPbe,4
2023-01-10,Where the Heart Is,2000,https://boxd.it/1VWM,3.5
2023-05-17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2023-06-05,The Master,2012,https://boxd.it/2cBG,2
2023-06-07,Moonlight,2016,https://boxd.it/d6bE,4
2023-06-25,The Hateful Eight,2015,https://boxd.it/8gw8,3.5
2023-06-25,Lady Bird,2017,https://boxd.it/dGNE,3
2023-06-25,Glass Onion,2022,https://boxd.it/oCkK,3
2023-06-25,Her,2013,https://boxd.it/4O24,4
2023-06-25,Last Night in Soho,2021,https://boxd.it/lbJC,2
2023-06-25,mother!,2017,https://boxd.it/dgRU,3.5
2023-06-25,Creep,2014,https://boxd.it/7l4c,3.5
2023-07-13,1408,2007,https://boxd.it/25Vu,2
2023-07-26,Oppenheimer,2023,https://boxd.it/wUow,4
2023-08-20,Lars and the Real Girl,2007,https://boxd.it/21tG,4
